filename,label,baseline_manual_minutes
01_out_of_memory.log,out_of_memory,10
02_out_of_memory.log,out_of_memory,8
03_out_of_memory.log,out_of_memory,9
04_out_of_memory.log,out_of_memory,8
05_out_of_memory.log,out_of_memory,8
06_timeout.log,timeout,9
07_timeout.log,timeout,6
08_timeout.log,timeout,6
09_timeout.log,timeout,6
10_timeout.log,timeout,7
11_network_error.log,network_error,9
12_network_error.log,network_error,5
13_network_error.log,network_error,5
14_network_error.log,network_error,7
15_network_error.log,network_error,6
16_network_error.log,network_error,9
17_network_error.log,network_error,9
18_schema_validation_error.log,schema_validation_error,13
19_schema_validation_error.log,schema_validation_error,17
20_schema_validation_error.log,schema_validation_error,20
21_schema_validation_error.log,schema_validation_error,21
22_schema_validation_error.log,schema_validation_error,21
23_schema_validation_error.log,schema_validation_error,19
24_schema_validation_error.log,schema_validation_error,17
25_permission_denied.log,permission_denied,17
26_permission_denied.log,permission_denied,14
27_permission_denied.log,permission_denied,12
28_permission_denied.log,permission_denied,11
29_permission_denied.log,permission_denied,18
30_permission_denied.log,permission_denied,15
31_permission_denied.log,permission_denied,14
32_dependency_missing.log,dependency_missing,8
33_dependency_missing.log,dependency_missing,9
34_dependency_missing.log,dependency_missing,9
35_dependency_missing.log,dependency_missing,11
36_dependency_missing.log,dependency_missing,13
37_dependency_missing.log,dependency_missing,14
38_upstream_data_delay.log,upstream_data_delay,15
39_upstream_data_delay.log,upstream_data_delay,19
40_upstream_data_delay.log,upstream_data_delay,19
41_upstream_data_delay.log,upstream_data_delay,11
42_upstream_data_delay.log,upstream_data_delay,14
43_upstream_data_delay.log,upstream_data_delay,20
noisy_01.log,schema_validation_error,18
noisy_02.log,permission_denied,15
noisy_03.log,network_error,14
noisy_04.log,out_of_memory,23
noisy_05.log,dependency_missing,22
noisy_06.log,upstream_data_delay,25
noisy_07.log,timeout,18
